Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.7336244541484717,0.7563025210084033,0.7377049180327869,0.7468879668049793
Decision Tree,0.7729257641921398,0.7651515151515151,0.8278688524590164,0.7952755905511811
Random Forest,0.8122270742358079,0.7801418439716312,0.9016393442622951,0.8365019011406845
